matreial,materialDescription,quantity,postingDate,cost,movementType,Movement Type Text,Material Document,Document Date,Reference,Storage Location,Customer,userName,Collective number,Time of Entry,reasonArea
400/S4022,19CC GEAR PUMP,-3,13/12/2024,-224.8,551,GI scrapping,4013901297,13/12/2024,,PROD,,HOPKINSTR,,09:23:27,Damaged - Production Subs
400/V1382,POD MOUNT WA,-1,13/12/2024,-5.4,551,GI scrapping,4013901529,13/12/2024,,PROD,,HOPKINSTR,,09:33:23,Damaged - Materials Int
400/V6562,V. PUMP EK 65/0cc - KAWAS,-1,13/12/2024,-454.31,551,GI scrapping,4013901256,13/12/2024,,PROD,,HOPKINSTR,,09:18:52,Damaged - Production Subs
400/X5652,HOSE FUEL,-1,13/12/2024,-4.88,551,GI scrapping,4013901453,13/12/2024,,PROD,,HOPKINSTR,,09:29:37,Damaged - Production Subs
401/D9196,")""LOT VALVE",-1,13/12/2024,-110.63,551,GI scrapping,4013901772,13/12/2024,,PROD,,HOPKINSTR,,09:37:15,Damaged - Materials Int
401/E8574,PIVOT VALVE 5CG,-3,13/12/2024,-402.83,551,GI scrapping,4013901688,13/12/2024,,PROD,,HOPKINSTR,,09:36:25,Damaged - Materials Int
401/F2233,ABI DIPSTICK PS764 SB/BOX,-1,13/12/2024,-9.78,551,GI scrapping,4013901257,13/12/2024,,PROD,,HOPKINSTR,,09:19:15,Damaged - Production Subs
401/J3899,PILOT FILTER ASSY,-1,13/12/2024,-150.07,551,GI scrapping,4013901682,13/12/2024,,PROD,,HOPKINSTR,,09:34:18,Damaged - Materials Int
401/J3899,PILOT FILTER ASSY,-2,13/12/2024,-300.14,551,GI scrapping,4013901775,13/12/2024,,PROD,,HOPKINSTR,,09:38:18,Damaged - Materials Int
401/R3570,3f7PUMP EK 72/11cc - 19cc,-1,13/12/2024,-570.8,551,GI scrapping,4013901527,13/12/2024,,PROD,,HOPKINSTR,,09:30:30,Damaged - Production Subs
401/R5698,HOSE - AC NO.10 C/L - 143,-1,13/12/2024,-18.62,551,GI scrapping,4013901451,13/12/2024,,PROD,,HOPKINSTR,,09:28:51,Damaged - Production Subs
401/S7203,MINI FILTER,-4,13/12/2024,-112.48,551,GI scrapping,4013901680,13/12/2024,,PROD,,HOPKINSTR,,09:33:45,Damaged - Materials Int
401/U5553,V. BLOCK MNT BRKT - 20MM,-2,13/12/2024,-3.72,551,GI scrapping,4013901686,13/12/2024,,PROD,,HOPKINSTR,,09:35:54,Damaged - Materials Int
401/V9719,ACCUMULATOR 0.48L  25  BAR,-2,13/12/2024,-98.08,551,GI scrapping,4013901379,13/12/2024,,PROD,,HOPKINSTR,,09:26:57,Damaged - Production Subs
401/Y5611,ABI WATER COOLED COMPRESS,-1,13/12/2024,-636.69,551,GI scrapping,4013901378,13/12/2024,,PROD,,HOPKINSTR,,09:26:31,Damaged - Production Subs
402/J4978,WA 55KW - SEF SEAL PLATE,-1,13/12/2024,-42.04,551,GI scrapping,4013901400,13/12/2024,,PROD,,HOPKINSTR,,09:27:23,Damaged - Production Subs
402/L8855,HYD 2 EPROP valve,-2,13/12/2024,-118.54,551,GI scrapping,4013901771,13/12/2024,,PROD,,HOPKINSTR,,09:36:51,Damaged - Materials Int
402/N1238,STEER MODE VALVE 40LPM,-2,13/12/2024,-364.96,551,GI scrapping,4013901166,13/12/2024,,PROD,,HOPKINSTR,,09:10:49,Damaged - Materials Int
402/P6059,PILOT VALVE,-1,13/12/2024,-115.64,551,GI scrapping,4013901212,13/12/2024,,PROD,,HOPKINSTR,,09:13:47,Damaged - Materials Int
403/F6710,FENDER TUBE ASSEMBLY L.52,-5,13/12/2024,-318.57,551,GI scrapping,4013905542,13/12/2024,,PROD,,BUTKUSA,,12:22:09,Damaged - Post Obay
403/F6719,FENDER TUBE ASSEMBLY L.52,-15,13/12/2024,-955.71,551,GI scrapping,4013905543,13/12/2024,,PROD,,BUTKUSA,,12:22:35,Damaged - Post Obay
403/J5110,VAC-REAR COVER,-1,13/12/2024,-95.58,551,GI scrapping,4013901209,13/12/2024,,PROD,,RAFEEQM,,09:18:49,PRODUCTION ROTO
717/20122,ALARM REVERSE,-1,13/12/2024,-10.65,551,GI scrapping,4013901107,13/12/2024,,PROD,,HOPKINSTR,,09:06:42,Damaged - Materials Int
721/12010,HEAD/LIGHT EXT HARNSS,-1,13/12/2024,-4.78,551,GI scrapping,4013901169,13/12/2024,,PROD,,HOPKINSTR,,09:12:32,Damaged - Materials Int
721/D3959,GLOW PLUG FUSE LINK,-1,13/12/2024,-10.31,551,GI scrapping,4013901528,13/12/2024,,PROD,,HOPKINSTR,,09:31:02,Damaged - Production Subs
721/G1692,PS764 PS766 TRANSMISSION,-1,13/12/2024,-30.54,551,GI scrapping,4013901293,13/12/2024,,PROD,,HOPKINSTR,,09:22:06,Damaged - Production Subs
721/H5079,507/509 NON STAB HEADLIGH,-1,13/12/2024,-14.02,551,GI scrapping,4013901160,13/12/2024,,PROD,,HOPKINSTR,,09:09:39,Damaged - Materials Int
721/X1206,T4F ENGINE HARNESS,-1,13/12/2024,-86.45,551,GI scrapping,4013901211,13/12/2024,,PROD,,HOPKINSTR,,09:13:25,Damaged - Materials Int
728/D2287,CM3626 ECU,-1,13/12/2024,-232.04,551,GI scrapping,4013901124,13/12/2024,,PROD,,HOPKINSTR,,09:07:07,Damaged - Materials Int
728/H6649,CM0711 ECU (P414),-1,13/12/2024,-86.89,551,GI scrapping,4013901168,13/12/2024,,PROD,,HOPKINSTR,,09:12:04,Damaged - Materials Int
811/50550,PIN PIVOT,-1,13/12/2024,-10.29,551,GI scrapping,4013901255,13/12/2024,,PROD,,HOPKINSTR,,09:17:57,Damaged - Production  Z2
156/59300,HITCH PIN,-3,12/12/2024,-7.65,551,GI scrapping,4013886474,12/12/2024,,PROD,,HOPKINSTR,,13:49:19,Damaged - Materials Int
32/925421,FILLER BREATHER CAP,-2,12/12/2024,-31.3,551,GI scrapping,4013889269,12/12/2024,,PROD,,HOPKINSTR,,16:07:42,Damaged - Production Z7
320/A7046,FUEL LIFT PUMP,-3,12/12/2024,-901.51,551,GI scrapping,4013889322,12/12/2024,,PROD,,HOPKINSTR,,16:12:15,Damaged - Production Z7
320/A7454,ELP-L-1-C-2L-05WL-345-150,-1,12/12/2024,-188.84,551,GI scrapping,4013889381,12/12/2024,,PROD,,HOPKINSTR,,16:14:58,Damaged - Production Z7
320/A9100,SM 6-5 12V SUPPLY MODULE HHP,-1,12/12/2024,-209,551,GI scrapping,4013886520,12/12/2024,,PROD,,HOPKINSTR,,13:50:35,Damaged - Materials Int
320/A9100,SM 6-5 12V SUPPLY MODULE HHP,-1,12/12/2024,-209,551,GI scrapping,4013888770,12/12/2024,,PROD,,HOPKINSTR,,15:32:03,Damaged - Post Obay
331/55881,(W) (P) ISOLATER BRACKET,-3,12/12/2024,-5.31,551,GI scrapping,4013889526,12/12/2024,,PROD,,HOPKINSTR,,16:24:08,Damaged - Materials Int
332/C2279,DRIVE SHAFT REAR,-1,12/12/2024,-76.59,551,GI scrapping,4013889410,12/12/2024,,PROD,,HOPKINSTR,,16:18:19,Damaged - Materials Int
332/F7094,TOWING/BULKHEAD PLATE W.A,-1,12/12/2024,-1.54,551,GI scrapping,4013889581,12/12/2024,,PROD,,HOPKINSTR,,16:26:42,
332/G4034,ABI GA TANK STRAP,-1,12/12/2024,-6.66,551,GI scrapping,4013889318,12/12/2024,,PROD,,HOPKINSTR,,16:11:05,Damaged - Production Z7
332/H2489,(W) (P) REAR ACCESS PLATE WA,-1,12/12/2024,-17.41,551,GI scrapping,4013889320,12/12/2024,,PROD,,HOPKINSTR,,16:11:29,Damaged - Production Z7
332/H6537,SRS MANIFOLD - 5AW,-1,12/12/2024,-89.77,551,GI scrapping,4013889262,12/12/2024,,PROD,,HOPKINSTR,,16:05:57,Damaged - Production Z7
332/P7634,W.A. FENDER MTG - LH,-1,12/12/2024,-6.3,551,GI scrapping,4013889142,12/12/2024,,PROD,,HOPKINSTR,,15:55:03,Damaged - Production Z7
333/C6980,STEER MODE VALVE,-1,12/12/2024,-84.27,551,GI scrapping,4013886521,12/12/2024,,PROD,,HOPKINSTR,,13:51:06,Damaged - Materials Int
333/D5271,ABI 56+kW EXHAUST NO DOC,-1,12/12/2024,-109.26,551,GI scrapping,4013888776,12/12/2024,,PROD,,HOPKINSTR,,15:34:22,Damaged - Post Obay
333/F5826,WA CAB FRONT COVER,-2,12/12/2024,-20.88,551,GI scrapping,4013889426,12/12/2024,,PROD,,HOPKINSTR,,16:20:05,Damaged - Materials Int
333/G1172,WA CLAMP BRKT,-1,12/12/2024,-4.39,551,GI scrapping,4013889452,12/12/2024,,PROD,,HOPKINSTR,,16:22:14,Damaged - Materials Int
333/G2055,ABI ADBLUE TANK,-1,12/12/2024,-36.33,551,GI scrapping,4013889388,12/12/2024,,PROD,,HOPKINSTR,,16:17:56,Damaged - Materials Int
333/G7814,WIDE ANGLE MIRROR,-1,12/12/2024,-18.63,551,GI scrapping,4013889451,12/12/2024,,PROD,,HOPKINSTR,,16:21:52,Damaged - Materials Int
333/G9820,FUEL COOLER,-1,12/12/2024,-15.07,551,GI scrapping,4013889263,12/12/2024,,PROD,,HOPKINSTR,,16:06:22,Damaged - Production Z7
334/E3265,ISOLATOR SWITCH 12V/24V,-9,12/12/2024,-110.7,551,GI scrapping,4013889580,12/12/2024,,PROD,,HOPKINSTR,,16:26:15,Damaged - Materials Int
334/E8262,LIFT ARM SUPPORT DEVICE (,-1,12/12/2024,-8.3,551,GI scrapping,4013888645,12/12/2024,,PROD,,HOPKINSTR,,15:26:11,Damaged - Materials Int
334/F1364,CONTROL VALVE BLOCK,-1,12/12/2024,-370.08,551,GI scrapping,4013888862,12/12/2024,,PROD,,HOPKINSTR,,15:36:27,Damaged - Production Z7
334/F2692,LIFT ARM SUPPORT DEVICE (,-1,12/12/2024,-6.93,551,GI scrapping,4013888602,12/12/2024,,PROD,,HOPKINSTR,,15:23:34,Damaged - Materials Int
334/F2842,LIFT ARM SUPPORT DEVICE (,-1,12/12/2024,-12.11,551,GI scrapping,4013888642,12/12/2024,,PROD,,HOPKINSTR,,15:25:47,Damaged - Materials Int
334/F3081,LIFT ARM SUPPORT DEVICE (,-1,12/12/2024,-11.57,551,GI scrapping,4013888600,12/12/2024,,PROD,,HOPKINSTR,,15:23:12,Damaged - Materials Int
334/G3689,ABI HEADER TANK,-1,12/12/2024,-16.4,551,GI scrapping,4013888647,12/12/2024,,PROD,,HOPKINSTR,,15:26:42,Damaged - Materials Int
335/12238,Arm WA Mounting,-1,12/12/2024,-9.51,551,GI scrapping,4013889386,12/12/2024,,PROD,,HOPKINSTR,,16:17:02,Damaged - Post Obay
400/D8325,SA FENDER BASE RH,-1,12/12/2024,-17.78,551,GI scrapping,4013889315,12/12/2024,,PROD,,HOPKINSTR,,16:09:58,Damaged - Production Z7
400/F2771,ABI FUEL TANK,-2,12/12/2024,-353.9,551,GI scrapping,4013886522,12/12/2024,,PROD,,HOPKINSTR,,13:51:30,Damaged - Materials Int
400/F9120,WA PIPES INTER LH-5AX,-1,12/12/2024,-132.65,551,GI scrapping,4013888604,12/12/2024,,PROD,,HOPKINSTR,,15:24:49,Damaged - Materials Int
400/J8835,WA DEF PLATE 5AA/B/D/R YE,-1,12/12/2024,-3.94,551,GI scrapping,4013889529,12/12/2024,,PROD,,HOPKINSTR,,16:25:51,Damaged - Materials Int
400/K5653,FLOORMAT,-14,12/12/2024,-431.76,551,GI scrapping,4013888701,12/12/2024,,PROD,,HOPKINSTR,,15:30:20,Damaged - Post Obay
400/N8796,WA LOCK PIN PLATE,-2,12/12/2024,-4.8,551,GI scrapping,4013889165,12/12/2024,,PROD,,HOPKINSTR,,15:55:53,Damaged - Production Z7
400/R9764,FAN MOTOR 11cc BI-DIR SAE,-2,12/12/2024,-410.74,551,GI scrapping,4013889221,12/12/2024,,PROD,,HOPKINSTR,,15:59:49,Damaged - Production Z7
400/S0620,FAN MOTOR 11cc BI-DIRECTI,-1,12/12/2024,-199.04,551,GI scrapping,4013888779,12/12/2024,,PROD,,HOPKINSTR,,15:34:48,Damaged - Post Obay
400/W5362,WA REAR COVER,-1,12/12/2024,-5.29,551,GI scrapping,4013889317,12/12/2024,,PROD,,HOPKINSTR,,16:10:41,Damaged - Production Z7
401/C5486,ABI ENGINE COVER - NO LOGO,-1,12/12/2024,-356.32,551,GI scrapping,4013888678,12/12/2024,,PROD,,HOPKINSTR,,15:29:46,Damaged - Production Z7
401/C8888,ABI JCB DECAL PRESSED,-15,12/12/2024,-76.63,551,GI scrapping,4013886473,12/12/2024,,PROD,,HOPKINSTR,,13:48:57,Damaged - Materials Int
401/D3169,WA BRKT HEADER TANK,-1,12/12/2024,-9.22,551,GI scrapping,4013888603,12/12/2024,,PROD,,HOPKINSTR,,15:24:00,Damaged - Materials Int
401/E1271,ABI FUEL TANK,-2,12/12/2024,-344.34,551,GI scrapping,4013888606,12/12/2024,,PROD,,HOPKINSTR,,15:25:11,Damaged - Materials Int
401/E8574,PIVOT VALVE 5CG,-1,12/12/2024,-134.28,551,GI scrapping,4013889174,12/12/2024,,PROD,,HOPKINSTR,,15:57:33,Damaged - Production Z7
401/G7298,WA REAR LIGHT SHROUD,-3,12/12/2024,-14.58,551,GI scrapping,4013889321,12/12/2024,,PROD,,HOPKINSTR,,16:11:53,Damaged - Production Z7
401/J0685,BOOM END COVER - YELLOW,-1,12/12/2024,-7.1,551,GI scrapping,4013888704,12/12/2024,,PROD,,HOPKINSTR,,15:31:15,Damaged - Post Obay
401/J5839,BRKT ISOLATOR LABEL-3 THK,-8,12/12/2024,-10.72,551,GI scrapping,4013889527,12/12/2024,,PROD,,HOPKINSTR,,16:24:31,Damaged - Materials Int
401/L0218,HANDBRAKE LEVER,-1,12/12/2024,-45.97,551,GI scrapping,4013889493,12/12/2024,,PROD,,HOPKINSTR,,16:23:08,Damaged - Materials Int
401/P6349,WA HEADER TANK BRACKET,-1,12/12/2024,-9.39,551,GI scrapping,4013886477,12/12/2024,,PROD,,HOPKINSTR,,13:49:46,Damaged - Materials Int
401/V1031,WA POD BASE 97+kW STV - B,-1,12/12/2024,-310.96,551,GI scrapping,4013886651,12/12/2024,,PROD,,HOPKINSTR,,13:54:47,Damaged - Materials Int
402/G7248,ABI FRONT DRIVE SHAFTS 66,-4,12/12/2024,-413.84,551,GI scrapping,4013889453,12/12/2024,,PROD,,HOPKINSTR,,16:22:47,Damaged - Materials Int
402/G7267,ABI REAR DRIVE SHAFTS 637,-1,12/12/2024,-103.46,551,GI scrapping,4013889329,12/12/2024,,PROD,,HOPKINSTR,,16:14:29,Damaged - Production Z7
402/L5545,SA FENDER BASE FL,-1,12/12/2024,-29.67,551,GI scrapping,4013889312,12/12/2024,,PROD,,HOPKINSTR,,16:09:34,Damaged - Production Z7
402/M4266,WA WORKLIGHT BRKT,-4,12/12/2024,-9.68,551,GI scrapping,4013889171,12/12/2024,,PROD,,HOPKINSTR,,15:56:20,Damaged - Production Z7
402/P6059,PILOT VALVE,-1,12/12/2024,-115.64,551,GI scrapping,4013889323,12/12/2024,,PROD,,HOPKINSTR,,16:12:42,Damaged - Production Z7
402/S4274,KNOCKBACK MIRROR ARM,-1,12/12/2024,-11.96,551,GI scrapping,4013889325,12/12/2024,,PROD,,HOPKINSTR,,16:13:08,Damaged - Production Z7
403/D1552,TWIN LINE TB VALVE 40BAR,-1,12/12/2024,-310.85,551,GI scrapping,4013889265,12/12/2024,,PROD,,HOPKINSTR,,16:06:44,Damaged - Production Z7
403/F6710,FENDER TUBE ASSEMBLY L.52,-12,12/12/2024,-764.57,551,GI scrapping,4013889511,12/12/2024,,PROD,,BUTKUSA,,16:23:59,Damaged - Post Obay
403/F6719,FENDER TUBE ASSEMBLY L.52,-2,12/12/2024,-127.43,551,GI scrapping,4013889551,12/12/2024,,PROD,,BUTKUSA,,16:24:56,Damaged - Post Obay
403/R1836,ABI BOOM HARNESS,-1,12/12/2024,-91.5,551,GI scrapping,4013889298,12/12/2024,,PROD,,HOPKINSTR,,16:09:10,Damaged - Production Z7
403/V1338,HOSE -08 BSP GS 7520mm B,-1,12/12/2024,-28.18,551,GI scrapping,4013889296,12/12/2024,,PROD,,HOPKINSTR,,16:08:46,Damaged - Production Z7
403/X7458,SA HOSE - 08 BSP 7660MM B,-1,12/12/2024,-29.08,551,GI scrapping,4013889328,12/12/2024,,PROD,,HOPKINSTR,,16:14:07,Damaged - Production Z7
561/60375,GA RAM STAB LH 110 x 60,-1,12/12/2024,-326.73,551,GI scrapping,4013888708,12/12/2024,,PROD,,HOPKINSTR,,15:31:37,Damaged - Post Obay
700/50129,REAR LIGHT & PLINTH CLUST,-2,12/12/2024,-28.26,551,GI scrapping,4013888863,12/12/2024,,PROD,,HOPKINSTR,,15:36:51,Damaged - Production Z7
700/50129,REAR LIGHT & PLINTH CLUST,-1,12/12/2024,-14.13,551,GI scrapping,4013888703,12/12/2024,,PROD,,HOPKINSTR,,15:30:49,Damaged - Post Obay
700/50130,REAR LIGHT & PLINTH CLUST,-2,12/12/2024,-29.5,551,GI scrapping,4013889424,12/12/2024,,PROD,,HOPKINSTR,,16:18:43,Damaged - Materials Int
700/50130,REAR LIGHT & PLINTH CLUST,-1,12/12/2024,-14.75,551,GI scrapping,4013888771,12/12/2024,,PROD,,HOPKINSTR,,15:32:32,Damaged - Post Obay
721/M0675,TRAILER SOCKET 7 CORE CAB,-1,12/12/2024,-9.39,551,GI scrapping,4013889528,12/12/2024,,PROD,,HOPKINSTR,,16:25:07,Damaged - Materials Int
721/V5444,P42 STV HMH CHASSIS,-1,12/12/2024,-351.54,551,GI scrapping,4013889327,12/12/2024,,PROD,,HOPKINSTR,,16:13:42,Damaged - Production Z7
721/X9462,P42 INNER BOOM HARNESS,-1,12/12/2024,-40.76,551,GI scrapping,4013889145,12/12/2024,,PROD,,HOPKINSTR,,15:55:27,Damaged - Production Z7
728/D2287,CM3626 ECU,-1,12/12/2024,-232.04,551,GI scrapping,4013888648,12/12/2024,,PROD,,HOPKINSTR,,15:27:10,Damaged - Materials Int
728/G5767,CM2723 ECU,-1,12/12/2024,-64.88,551,GI scrapping,4013889582,12/12/2024,,PROD,,HOPKINSTR,,16:27:27,Damaged - Materials Int
811/90293,PIVOT PIN,-3,12/12/2024,-97.57,551,GI scrapping,4013889524,12/12/2024,,PROD,,HOPKINSTR,,16:23:34,Damaged - Materials Int
26AG/EN148,HOSE-16 BSP LP 1480mm C,-1,11/12/2024,-22.97,551,GI scrapping,4013857505,11/12/2024,,PROD,,HOPKINSTR,,14:29:06,Damaged - Production  Z2
32/926107,LUBRICITY FILTER,-1,11/12/2024,-36.32,551,GI scrapping,4013857164,11/12/2024,,PROD,,HOPKINSTR,,14:12:08,Damaged - Production Subs
320/A7362,6kP-G-1-C-2R-12MB-332-146,-1,11/12/2024,-226.58,551,GI scrapping,4013857389,11/12/2024,,PROD,,HOPKINSTR,,14:23:55,Damaged - Production Subs
320/B4595,56+KW CAC,-1,11/12/2024,-43.72,551,GI scrapping,4013857119,11/12/2024,,PROD,,HOPKINSTR,,14:11:11,Damaged - Production Subs
320/B6362,"3"" FIXED CLAMP",-8,11/12/2024,-42.88,551,GI scrapping,4013858009,11/12/2024,,PROD,,HOPKINSTR,,14:45:25,Damaged - Production Subs
332/C1114,DIPSTICK ASSY - LONG ABI,-1,11/12/2024,-9.83,551,GI scrapping,4013857927,11/12/2024,,PROD,,HOPKINSTR,,14:44:29,Damaged - Production Subs
332/C5000,RADIATOR TIII MECH ENG,-1,11/12/2024,-132.06,551,GI scrapping,4013857116,11/12/2024,,PROD,,HOPKINSTR,,14:10:47,Damaged - Production Subs
332/C6035,PIVOT TUBE WITH X-HOLE,-2,11/12/2024,-7.58,551,GI scrapping,4013857419,11/12/2024,,PROD,,HOPKINSTR,,14:26:17,Damaged - Production Subs
332/C8065,AUX 2 PIPES W.A.,-1,11/12/2024,-18.17,551,GI scrapping,4013858088,11/12/2024,,PROD,,HOPKINSTR,,14:48:12,Damaged - Materials Int
332/D0217,Hose 1/2 BSP 950MM,-1,11/12/2024,-7.14,551,GI scrapping,4013857414,11/12/2024,,PROD,,HOPKINSTR,,14:24:57,Damaged - Production Subs
332/D4368,PIPE W.A. - INNER EXT_N R,-2,11/12/2024,-358.26,551,GI scrapping,4013858038,11/12/2024,,PROD,,HOPKINSTR,,14:47:22,Damaged - Materials Int
332/D4745,CAST REAR C-WEIGHT,-1,11/12/2024,-608.76,551,GI scrapping,4013856843,11/12/2024,,PROD,,HOPKINSTR,,13:58:13,Damaged - Materials Int
332/E6627,LOAD SPREADER PLATE,-10,11/12/2024,-49.3,551,GI scrapping,4013857090,11/12/2024,,PROD,,HOPKINSTR,,14:07:52,Damaged - Post Obay
332/E6812,Scout Engine Harness,-1,11/12/2024,-15.87,551,GI scrapping,4013857716,11/12/2024,,PROD,,HOPKINSTR,,14:37:18,Damaged - Production Subs
332/F5436,GA FUEL TANK ABI,-1,11/12/2024,-119.71,551,GI scrapping,4013856460,11/12/2024,,PROD,,HOPKINSTR,,13:41:18,Damaged - Materials Int
332/G3907,6-WAY SOLENOID C/O VALVE,-1,11/12/2024,-51.91,551,GI scrapping,4013858245,11/12/2024,,PROD,,HOPKINSTR,,14:52:19,Damaged - Materials Int
332/G4377,(W) (P) SA COUNTERWEIGHT P55,-1,11/12/2024,-901.09,551,GI scrapping,4013856809,11/12/2024,,PROD,,HOPKINSTR,,13:57:12,Damaged - Materials Int
332/H8744,WA PIPE HARPOON,-1,11/12/2024,-162,551,GI scrapping,4013858243,11/12/2024,,PROD,,HOPKINSTR,,14:51:55,Damaged - Materials Int
333/C3500,SUPPORT ARM W.A.,-1,11/12/2024,-10.43,551,GI scrapping,4013858149,11/12/2024,,PROD,,HOPKINSTR,,14:49:27,Damaged - Materials Int
333/C5123,HOSE AIR CONDITIONING,-1,11/12/2024,-11.52,551,GI scrapping,4013857473,11/12/2024,,PROD,,HOPKINSTR,,14:26:46,Damaged - Production Subs
333/D0531,GA TRANS HOSE 380MM YELLOW,-1,11/12/2024,-18.85,551,GI scrapping,4013857191,11/12/2024,,PROD,,HOPKINSTR,,14:13:15,Damaged - Production Subs
333/D8450,PIPE-BRAKE SERVO-FEED,-15,11/12/2024,-67.95,551,GI scrapping,4013857923,11/12/2024,,PROD,,HOPKINSTR,,14:43:14,Damaged - Production Subs
333/E0311,HOSE AIR CONDITIONING,-1,11/12/2024,-6.97,551,GI scrapping,4013857358,11/12/2024,,PROD,,HOPKINSTR,,14:21:58,Damaged - Production Subs
333/E6623,HOSE - 12 BSP LP 1100 A,-1,11/12/2024,-12.94,551,GI scrapping,4013857349,11/12/2024,,PROD,,HOPKINSTR,,14:19:58,Damaged - Production Subs
333/G9820,FUEL COOLER,-1,11/12/2024,-15.07,551,GI scrapping,4013857167,11/12/2024,,PROD,,HOPKINSTR,,14:12:46,Damaged - Production Subs
333/H9146,p90 FILL MOULDING,-2,11/12/2024,-16.44,551,GI scrapping,4013857504,11/12/2024,,PROD,,HOPKINSTR,,14:28:39,Damaged - Production  Z2
334/C5698,SRS LIFT VALVE 536-60,-1,11/12/2024,-165.54,551,GI scrapping,4013856643,11/12/2024,,PROD,,HOPKINSTR,,13:51:09,Damaged - Production Z7
334/F2842,LIFT ARM SUPPORT DEVICE (,-3,11/12/2024,-36.33,551,GI scrapping,4013857035,11/12/2024,,PROD,,HOPKINSTR,,14:06:08,Damaged - Post Obay
334/F3081,LIFT ARM SUPPORT DEVICE (,-2,11/12/2024,-23.14,551,GI scrapping,4013856999,11/12/2024,,PROD,,HOPKINSTR,,14:05:38,Damaged - Post Obay
334/F6918,WASHER BOTTLE DOOR,-7,11/12/2024,-17.92,551,GI scrapping,4013856705,11/12/2024,,PROD,,HOPKINSTR,,13:54:18,Damaged - Production Z7
335/B3984,LIFT RAM RECESS COVER,-2,11/12/2024,-68.88,551,GI scrapping,4013857111,11/12/2024,,PROD,,HOPKINSTR,,14:09:01,Damaged - Post Obay
33AG/DA054,HOSE -08 BSP HP 540mm B,-3,11/12/2024,-21.45,551,GI scrapping,4013857213,11/12/2024,,PROD,,HOPKINSTR,,14:14:43,Damaged - Production Subs
400/C3661,WA BATTERY TRAY,-6,11/12/2024,-28.26,551,GI scrapping,4013856702,11/12/2024,,PROD,,HOPKINSTR,,13:53:23,Damaged - Production Z7
400/D8533,SA FENDER RH TRIM 5,-1,11/12/2024,-17.78,551,GI scrapping,4013857050,11/12/2024,,PROD,,HOPKINSTR,,14:06:52,Damaged - Post Obay
